gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total
male,group A,high school,standard,completed,67,67,63,197
female,group D,some high school,free/reduced,none,40,59,55,154
male,group E,some college,free/reduced,none,59,60,50,169
male,group B,high school,standard,none,77,78,68,223
male,group E,associate's degree,standard,completed,78,73,68,219
female,group D,high school,standard,none,63,77,76,216
female,group A,bachelor's degree,standard,none,62,59,63,184
male,group E,some college,standard,completed,93,88,84,265
male,group D,high school,standard,none,63,56,65,184
male,group C,some college,free/reduced,none,47,42,45,134
male,group E,some college,standard,completed,99,83,85,267
female,group D,high school,standard,completed,80,87,90,257
male,group D,associate's degree,standard,completed,77,87,85,249
male,group C,high school,standard,completed,74,74,73,221
male,group E,some high school,standard,completed,81,87,85,253
male,group E,associate's degree,free/reduced,none,69,61,57,187
male,group B,high school,standard,none,58,47,42,147
female,group C,associate's degree,standard,completed,54,62,65,181
female,group C,associate's degree,free/reduced,none,23,44,44,111
male,group C,some college,free/reduced,none,39,32,31,102
female,group C,associate's degree,standard,none,83,76,88,247
male,group C,associate's degree,standard,none,58,52,55,165
male,group B,some college,standard,completed,71,69,73,213
female,group B,some college,free/reduced,none,44,55,54,153
male,group E,some high school,free/reduced,none,46,38,32,116
male,group C,high school,free/reduced,none,51,45,42,138
female,group C,some high school,standard,none,53,60,56,169
male,group E,high school,standard,none,71,68,60,199
female,group B,high school,standard,completed,74,89,89,252
female,group A,some high school,free/reduced,none,33,54,51,138
male,group B,some college,standard,none,87,79,77,243
male,group A,bachelor's degree,free/reduced,none,78,74,73,225
male,group A,some high school,free/reduced,completed,40,41,39,120
female,group B,associate's degree,standard,completed,65,65,71,201
female,group B,bachelor's degree,standard,completed,79,88,89,256
female,group A,bachelor's degree,standard,none,68,74,74,216
female,group C,some college,standard,completed,57,77,75,209
male,group B,high school,free/reduced,none,67,65,54,186
female,group B,some college,free/reduced,completed,58,68,73,199
male,group E,associate's degree,standard,none,98,81,77,256
female,group B,master's degree,free/reduced,none,54,75,72,201
male,group D,high school,standard,none,77,67,64,208
male,group E,high school,standard,completed,87,79,82,248
female,group C,master's degree,standard,none,58,70,70,198
male,group E,high school,standard,none,100,88,87,275
male,group C,bachelor's degree,standard,none,60,46,51,157
male,group C,associate's degree,free/reduced,none,64,63,57,184
female,group E,some high school,standard,completed,65,76,78,219
female,group D,high school,standard,none,68,72,73,213
male,group C,associate's degree,free/reduced,completed,60,63,57,180
male,group D,high school,standard,none,65,68,64,197
female,group C,some high school,free/reduced,none,52,58,60,170
female,group C,associate's degree,standard,none,74,81,85,240
female,group C,high school,free/reduced,none,36,53,49,138
male,group D,high school,free/reduced,none,57,57,47,161
female,group C,some college,standard,completed,56,60,62,178
female,group C,bachelor's degree,standard,completed,67,80,84,231
male,group D,associate's degree,standard,completed,88,87,83,258
female,group D,some college,free/reduced,none,42,61,51,154
male,group E,some high school,standard,none,68,51,48,167
male,group D,some college,free/reduced,none,76,66,68,210
female,group E,some high school,standard,none,58,63,59,180
male,group E,some high school,standard,completed,69,67,62,198
male,group A,bachelor's degree,standard,completed,77,82,78,237
male,group D,master's degree,standard,completed,83,93,97,273
female,group C,some high school,free/reduced,completed,49,74,70,193
male,group C,high school,standard,none,71,60,56,187
female,group D,some high school,free/reduced,none,47,46,49,142
male,group B,high school,standard,none,79,64,60,203
female,group C,high school,standard,none,60,64,57,181
female,group C,associate's degree,standard,completed,56,68,73,197
male,group C,associate's degree,standard,none,57,52,47,156
female,group B,some college,standard,none,49,70,63,182
female,group C,some high school,standard,completed,79,76,81,236
male,group B,master's degree,free/reduced,none,71,76,67,214
female,group C,high school,standard,none,71,77,70,218
female,group C,some college,standard,none,47,63,59,169
female,group D,high school,free/reduced,none,72,91,81,244
male,group C,associate's degree,standard,none,78,73,76,227
male,group D,some high school,standard,none,54,43,45,142
female,group B,bachelor's degree,standard,none,46,59,62,167
female,group D,some high school,free/reduced,none,31,38,42,111
female,group C,associate's degree,free/reduced,none,51,59,59,169
male,group B,high school,standard,completed,78,76,73,227
female,group B,associate's degree,free/reduced,none,32,41,39,112
female,group C,some high school,standard,none,53,71,69,193
female,group C,some college,free/reduced,none,63,76,69,208
male,group D,some college,standard,none,97,93,88,278
female,group D,some college,standard,none,56,52,61,169
male,group B,high school,standard,none,72,76,72,220
male,group C,some college,free/reduced,none,57,47,42,146
male,group B,some high school,standard,none,74,71,70,215
female,group D,master's degree,standard,none,81,81,87,249
male,group D,bachelor's degree,standard,completed,94,87,93,274
male,group B,master's degree,free/reduced,none,81,73,72,226
female,group C,high school,standard,completed,58,63,67,188
female,group E,associate's degree,standard,completed,95,100,100,295
male,group B,high school,free/reduced,none,45,52,49,146
male,group A,some college,standard,none,63,50,49,162
male,group B,associate's degree,standard,none,60,54,53,167
male,group C,some college,free/reduced,completed,54,61,62,177
male,group C,some college,standard,completed,75,78,79,232
male,group E,high school,standard,none,79,78,77,234
male,group D,high school,standard,none,66,67,67,200
female,group B,some college,standard,none,47,58,58,163
female,group D,bachelor's degree,standard,none,70,78,82,230
male,group D,high school,standard,none,82,74,73,229
male,group A,bachelor's degree,standard,none,56,38,44,138
male,group B,associate's degree,standard,none,92,78,71,241
male,group C,some college,free/reduced,none,30,33,33,96
female,group C,some college,standard,completed,79,88,86,253
female,group D,some high school,standard,none,41,52,47,140
female,group C,master's degree,standard,none,63,82,71,216
male,group A,bachelor's degree,free/reduced,none,43,34,33,110
male,group D,high school,standard,none,77,76,74,227
male,group B,associate's degree,standard,completed,76,79,76,231
female,group E,some college,free/reduced,none,49,61,63,173
male,group C,associate's degree,standard,completed,59,57,55,171
male,group B,bachelor's degree,free/reduced,none,59,70,58,187
female,group D,some high school,standard,completed,76,90,87,253
female,group C,high school,standard,completed,55,71,71,197
female,group D,bachelor's degree,standard,completed,78,87,89,254
female,group C,bachelor's degree,standard,completed,51,53,62,166
female,group C,some high school,standard,completed,41,43,45,129
female,group D,associate's degree,standard,none,74,78,86,238
male,group C,master's degree,standard,none,62,54,58,174
male,group D,associate's degree,standard,none,77,71,64,212
male,group C,some high school,standard,none,45,52,45,142
male,group E,some college,standard,completed,100,84,87,271
female,group D,associate's degree,free/reduced,completed,83,95,100,278
female,group E,associate's degree,free/reduced,completed,77,75,82,234
male,group C,high school,standard,completed,66,70,64,200
male,group B,some college,standard,none,65,63,57,185
male,group D,associate's degree,standard,none,62,55,56,173
male,group E,some college,standard,none,55,54,54,163
